1       1       -18.500000	1.0     0.0     9.904322	0.141264	24.535017	24.535017	26.894153	26.894153	29.253289
2       2       -17.500000	1.0     0.0     9.422390	0.060521	21.807984	24.404172	27.000361	27.000361	27.000361
3       3       -16.500000	1.0     0.0     9.521754	0.049266	24.878851	24.878851	27.271048	27.271048	29.663245
4       4       -15.500000	1.0     0.0     9.434955	0.047882	20.883361	23.369476	25.855590	25.855590	25.855590
5       5       -14.500000	1.0     0.0     9.349912	0.052779	22.910094	25.347338	25.347338	27.784582	27.784582
6       6       -13.500000	1.0     0.0     9.358406	0.052242	22.159340	22.159340	24.516716	24.516716	26.874093
7       7       -12.500000	1.0     0.0     9.383029	0.049148	22.855555	25.286997	25.286997	27.718439	27.718439
8       8       -11.500000	1.0     0.0     9.287822	0.063193	20.364793	22.789174	25.213554	25.213554	25.213554
9       9       -10.500000	1.0     0.0     9.344957	0.052053	24.005515	24.005515	26.559294	29.113072	29.113072
10      10      -9.500000	1.0     0.0     9.460338	0.051691	22.554898	22.554898	24.954356	24.954356	27.353813
11      11      -8.500000	1.0     0.0     9.427081	0.048236	23.889847	23.889847	26.431321	28.972794	28.972794
12      12      -7.500000	1.0     0.0     9.185145	0.050007	19.546558	21.873529	24.200500	24.200500	24.200500
13      13      -6.500000	1.0     0.0     9.187631	0.049322	21.945440	24.280062	26.614683	26.614683	26.614683
14      14      -5.500000	1.0     0.0     9.315732	0.044137	20.452158	22.886939	22.886939	25.321719	25.321719
15      15      -4.500000	1.0     0.0     9.203338	0.041530	22.205815	24.568135	24.568135	26.930456	26.930456
16      16      -3.500000	1.0     0.0     9.342708	0.049223	20.574546	23.023896	23.023896	25.473247	25.473247
17      17      -2.500000	1.0     0.0     9.430551	0.042425	23.500821	23.500821	26.000908	28.500995	28.500995
18      18      -1.500000	1.0     0.0     9.195840	0.053005	21.143267	21.143267	23.392551	23.392551	23.392551
19      19      -0.500000	1.0     0.0     9.360986	0.054358	23.431518	25.924232	25.924232	28.416947	28.416947
20      20      0.500000	1.0     0.0     9.246924	0.050693	20.246604	22.656914	22.656914	25.067224	25.067224
21      21      1.500000	1.0     0.0     9.250126	0.049704	21.597353	23.894944	26.192535	26.192535	26.192535
22      22      2.500000	1.0     0.0     9.356131	0.049657	20.113133	22.507554	22.507554	24.901975	24.901975
23      23      3.500000	1.0     0.0     9.217928	0.053309	21.786489	24.104201	26.421913	26.421913	26.421913
24      24      4.500000	1.0     0.0     9.330466	0.055528	21.109690	21.109690	23.622748	26.135806	26.135806
25      25      5.500000	1.0     0.0     9.390084	0.048141	22.541825	24.939891	27.337957	27.337957	27.337957
26      26      6.500000	1.0     0.0     9.183250	0.045607	20.922158	20.922158	23.147920	23.147920	23.147920
27      27      7.500000	1.0     0.0     9.397425	0.052409	21.962279	24.298691	26.635104	26.635104	26.635104
28      28      8.500000	1.0     0.0     9.256358	0.048984	21.785307	21.785307	24.102893	24.102893	24.102893
29      29      9.500000	1.0     0.0     9.336190	0.052216	23.220943	25.691256	25.691256	28.161569	28.161569
30      30      10.500000	1.0     0.0     9.297027	0.053850	21.029551	23.533069	23.533069	26.036587	26.036587
31	31	11.500000	1.0     0.0     9.430411	0.049900	24.374465	24.374465	26.718163	26.718163	26.718163
32      32      12.500000	1.0     0.0     9.400376	0.044544	21.182098	23.703776	23.703776	26.225454	26.225454
33      33      13.500000	1.0     0.0     10.055190	0.140556	26.886491	26.886491	29.471731	29.471731	32.056970
35      35      15.500000	1.0     0.0     10.483823	0.259425	26.281629	26.281629	28.808709	31.335789	31.335789
36      36      16.500000	1.0     0.0     9.301131	0.066515	21.126388	21.126388	23.373876	23.373876	25.621364
37      37      17.500000	1.0     0.0     9.443611	0.051203	22.753720	25.174328	27.594937	27.594937	27.594937
38      38      18.500000	1.0     0.0     9.672269	0.069223	21.790160	21.790160	24.108262	24.108262	24.108262
39      39      19.500000	1.0     0.0     10.759856	0.262588	26.701566	29.043809	29.043809	31.386051	31.386051
